Algorithm,Granularity,Schema Name,DB Query,Fetch Type,Threads,Date
AES,TUPLE,employees_icdb_aes_tuple,SELECT * FROM salaries,LAZY,0,04/09/16 19:42:56
Query Fetch Size,Query Conversion Time,Data Fetch Time,Verification Time
125000,20,138,825
250000,0,256,1203
500000,0,543,2317
1000000,0,1509,5745
1500000,0,2194,6779
2000000,0,2252,10877
