Algorithm,Granularity,Schema Name,DB Query,Fetch Type,Threads,Date
SHA,TUPLE,employees_icdb_sha_tuple,SELECT * FROM salaries,EAGER,1,04/09/16 19:05:35
Query Fetch Size,Query Conversion Time,Data Fetch Time,Verification Time
125000,20,573,925
250000,0,1215,1176
500000,0,1226,2145
1000000,0,4444,4777
1500000,1,6132,8164
2000000,0,8474,9981
